,date,id,close,vol
0,2019-10-10,rb1910,3585,32640
1,2019-10-11,rb1910,3603,8040
2,2019-10-14,rb1910,3645,10320
3,2019-10-10,rb1911,3534,164
4,2019-10-11,rb1911,3503,10
5,2019-10-14,rb1911,3500,314
