ts_code,trade_date,open,high,low,close,vol
000001.SZ,20190801,14.06,14.19,13.94,14.1,527981.28
000001.SZ,20190802,13.77,13.88,13.66,13.74,969926.46
000001.SZ,20190805,13.6,13.64,13.27,13.35,893082.42
000001.SZ,20190806,13.1,13.46,13.03,13.37,882499.13
000001.SZ,20190807,13.49,13.64,13.37,13.54,793038.99
000001.SZ,20190808,13.9,14.5,13.85,14.38,2330715.04
000001.SZ,20190809,14.55,14.85,14.43,14.52,2060575.13
000001.SZ,20190812,14.61,15.12,14.6,15.12,2733425.47
000001.SZ,20190813,15.0,15.08,14.74,14.89,1293736.44
000001.SZ,20190814,15.14,15.22,14.8,14.97,1360546.54
000001.SZ,20190815,14.64,14.96,14.6,14.94,897376.26
000001.SZ,20190816,15.09,15.14,14.78,14.9,986902.93
000001.SZ,20190819,14.91,14.94,14.52,14.92,2292956.13
000001.SZ,20190820,14.92,15.2,14.77,14.99,1921041.5
000001.SZ,20190821,14.87,14.89,14.38,14.45,1990131.95
000001.SZ,20190822,14.4,14.45,14.2,14.31,1353071.58
000001.SZ,20190823,14.37,14.74,14.35,14.65,1636867.68
000001.SZ,20190826,14.42,14.5,14.15,14.25,1415122.54
000001.SZ,20190827,14.36,14.48,14.24,14.31,1356713.37
000001.SZ,20190828,14.26,14.28,14.05,14.27,829657.68
000001.SZ,20190829,14.22,14.24,14.08,14.13,609034.34
000001.SZ,20190830,14.29,14.39,14.1,14.16,798500.57
000001.SZ,20190902,14.15,14.5,14.11,14.45,1360201.3
000001.SZ,20190903,14.48,14.51,14.25,14.3,858653.65
000001.SZ,20190904,14.32,14.5,14.31,14.44,973964.87
000001.SZ,20190905,14.56,14.85,14.55,14.58,1768051.43
000001.SZ,20190906,14.71,14.81,14.62,14.81,986432.8
000001.SZ,20190909,14.98,15.0,14.6,14.69,1299839.14
000001.SZ,20190910,14.6,14.64,14.41,14.55,796870.64
000001.SZ,20190911,14.6,14.71,14.46,14.56,818614.21
000001.SZ,20190912,14.66,14.78,14.53,14.68,1150687.64
000001.SZ,20190916,14.7,14.72,14.4,14.45,929894.14
000001.SZ,20190917,14.36,14.45,14.18,14.24,882655.75
000001.SZ,20190918,14.24,14.48,14.24,14.41,820436.33
000001.SZ,20190919,14.48,14.89,14.48,14.84,1884020.83
000001.SZ,20190920,14.95,15.4,14.93,15.34,2644285.14
000001.SZ,20190923,15.34,15.47,15.18,15.38,1403282.0
000001.SZ,20190924,15.47,15.54,15.18,15.18,1129103.24
000001.SZ,20190925,15.2,15.85,15.19,15.75,1938892.72
000001.SZ,20190926,15.86,16.04,15.66,15.71,1686592.58
000001.SZ,20190927,15.85,16.0,15.7,15.9,1007706.27
000001.SZ,20190930,15.75,15.89,15.57,15.59,1046363.17
000001.SZ,20191008,15.6,16.23,15.6,16.2,1386676.36
000001.SZ,20191009,16.1,16.52,16.02,16.25,1316693.41
000001.SZ,20191010,16.27,16.27,15.99,16.24,879746.62
000001.SZ,20191011,16.2,16.95,16.2,16.81,1405422.82
000001.SZ,20191014,16.97,17.6,16.92,17.22,1557637.45
000001.SZ,20191015,17.25,17.35,16.82,17.18,881955.42
000001.SZ,20191016,17.26,17.44,16.63,16.79,1267671.21
000001.SZ,20191017,16.9,17.0,16.55,16.7,1126182.22
000001.SZ,20191018,16.8,17.04,16.43,16.51,1196799.14
000001.SZ,20191021,16.43,16.97,16.43,16.89,945952.25
000001.SZ,20191022,16.91,16.93,16.03,16.42,1883531.43
000001.SZ,20191023,16.32,16.67,16.23,16.45,967534.59
000001.SZ,20191024,16.5,17.0,16.44,16.87,1109214.77
000001.SZ,20191025,16.78,16.96,16.58,16.88,691435.76
000001.SZ,20191028,16.98,17.04,16.48,16.66,1070131.13
000001.SZ,20191029,16.69,16.93,16.56,16.91,788864.73
000001.SZ,20191030,16.8,16.96,16.42,16.43,854317.17
000001.SZ,20191031,16.42,16.47,16.24,16.26,862569.3
000001.SZ,20191101,16.35,17.0,16.28,16.86,1254655.44
000001.SZ,20191104,16.98,17.25,16.77,16.92,889824.25
000001.SZ,20191105,16.8,17.44,16.79,17.15,1172485.89
000001.SZ,20191106,17.06,17.26,16.88,16.96,863325.36
000001.SZ,20191107,16.93,17.07,16.75,16.89,711896.99
000001.SZ,20191108,16.98,17.02,16.64,16.65,849139.24
000001.SZ,20191111,16.5,16.53,16.2,16.28,953515.63
000001.SZ,20191112,16.29,16.37,16.16,16.33,516266.4
000001.SZ,20191113,16.29,16.46,16.06,16.33,655120.65
000001.SZ,20191114,16.43,16.48,16.25,16.32,468899.55
000001.SZ,20191115,16.39,16.55,16.24,16.34,569227.98
000001.SZ,20191118,16.35,16.55,16.23,16.45,557918.41
000001.SZ,20191119,16.45,16.48,16.31,16.41,562120.4
000001.SZ,20191120,16.3,16.3,15.77,15.85,1724383.53
000001.SZ,20191121,15.75,15.87,15.63,15.86,772563.24
000001.SZ,20191122,15.89,15.92,15.55,15.59,773473.54
000001.SZ,20191125,15.64,15.84,15.54,15.8,783257.94
000001.SZ,20191126,15.89,15.89,15.49,15.62,815297.53
000001.SZ,20191127,15.64,15.64,15.39,15.47,476169.98
000001.SZ,20191128,15.47,15.54,15.44,15.49,378016.51
000001.SZ,20191129,15.54,15.55,15.18,15.29,653866.91
