
trade_time,RB1911,RB1912,RB2001,RB2002,RB2003,RB2004
2019-10-21 22:35:00,3452.0,3403.0,3305.0,3192.0,3189.0,3219.0
2019-10-21 22:40:00,3452.0,3382.0,3304.0,3192.0,3189.0,3219.0
2019-10-21 22:45:00,3441.0,3382.0,3304.0,3192.0,3189.0,3219.0
2019-10-21 22:50:00,3441.0,3382.0,3308.0,3188.0,3189.0,3219.0
2019-10-21 22:55:00,3441.0,3395.0,3309.0,3188.0,3189.0,3219.0
2019-10-21 23:00:00,3430.0,3395.0,3308.0,3188.0,3189.0,3219.0
2019-10-22 09:05:00,3437.0,3393.0,3306.0,3188.0,3183.0,3229.0
2019-10-22 09:10:00,3437.0,3393.0,3312.0,3184.0,3180.0,3229.0
2019-10-22 09:15:00,3456.0,3393.0,3314.0,3184.0,3180.0,3229.0
2019-10-22 09:20:00,3442.0,3413.0,3317.0,3194.0,3180.0,3229.0
2019-10-22 09:25:00,3442.0,3393.0,3315.0,3194.0,3180.0,3229.0
2019-10-22 09:30:00,3442.0,3393.0,3310.0,3190.0,3180.0,3217.0
2019-10-22 09:35:00,3442.0,3393.0,3310.0,3190.0,3180.0,3217.0
2019-10-22 09:40:00,3450.0,3393.0,3307.0,3190.0,3175.0,3217.0
2019-10-22 09:45:00,3450.0,3393.0,3307.0,3190.0,3175.0,3217.0
2019-10-22 09:50:00,3448.0,3388.0,3293.0,3190.0,3175.0,3217.0
2019-10-22 09:55:00,3448.0,3381.0,3295.0,3177.0,3175.0,3217.0
2019-10-22 10:00:00,3448.0,3381.0,3297.0,3177.0,3175.0,3217.0
2019-10-22 10:05:00,3448.0,3389.0,3298.0,3177.0,3175.0,3217.0
2019-10-22 10:10:00,3448.0,3389.0,3296.0,3177.0,3175.0,3217.0
2019-10-22 10:15:00,3448.0,3393.0,3298.0,3177.0,3175.0,3217.0
2019-10-22 10:35:00,3448.0,3388.0,3305.0,3192.0,3175.0,3217.0
2019-10-22 10:40:00,3461.0,3388.0,3302.0,3191.0,3175.0,3217.0
2019-10-22 10:45:00,3461.0,3388.0,3299.0,3191.0,3175.0,3217.0
2019-10-22 10:50:00,3462.0,3388.0,3302.0,3191.0,3175.0,3217.0
2019-10-22 10:55:00,3462.0,3388.0,3301.0,3191.0,3175.0,3217.0
2019-10-22 11:00:00,3462.0,3388.0,3305.0,3191.0,3175.0,3217.0
2019-10-22 11:05:00,3462.0,3388.0,3299.0,3191.0,3175.0,3217.0
2019-10-22 11:10:00,3462.0,3394.0,3297.0,3191.0,3175.0,3217.0
2019-10-22 11:15:00,3481.0,3394.0,3297.0,3191.0,3175.0,3217.0
2019-10-22 11:20:00,3481.0,3389.0,3292.0,3179.0,3176.0,3217.0
2019-10-22 11:25:00,3478.0,3389.0,3290.0,3171.0,3172.0,3201.0
2019-10-22 11:30:00,3478.0,3389.0,3287.0,3171.0,3168.0,3201.0
2019-10-22 13:35:00,3455.0,3385.0,3282.0,3170.0,3165.0,3201.0
2019-10-22 13:40:00,3446.0,3383.0,3281.0,3171.0,3165.0,3201.0
2019-10-22 13:45:00,3448.0,3384.0,3287.0,3171.0,3165.0,3201.0
2019-10-22 13:50:00,3448.0,3384.0,3293.0,3171.0,3165.0,3210.0
2019-10-22 13:55:00,3449.0,3384.0,3291.0,3171.0,3174.0,3203.0
2019-10-22 14:00:00,3449.0,3392.0,3292.0,3179.0,3176.0,3204.0
2019-10-22 14:05:00,3460.0,3396.0,3294.0,3179.0,3176.0,3204.0
2019-10-22 14:10:00,3460.0,3396.0,3297.0,3179.0,3176.0,3204.0
2019-10-22 14:15:00,3460.0,3396.0,3298.0,3179.0,3176.0,3204.0
2019-10-22 14:20:00,3460.0,3397.0,3302.0,3179.0,3176.0,3204.0
2019-10-22 14:25:00,3448.0,3404.0,3311.0,3185.0,3176.0,3204.0
2019-10-22 14:30:00,3454.0,3404.0,3311.0,3190.0,3176.0,3204.0
2019-10-22 14:35:00,3454.0,3404.0,3313.0,3190.0,3176.0,3204.0
2019-10-22 14:40:00,3454.0,3403.0,3317.0,3190.0,3187.0,3207.0
2019-10-22 14:45:00,3454.0,3403.0,3307.0,3188.0,3187.0,3207.0
2019-10-22 14:50:00,3454.0,3403.0,3309.0,3184.0,3187.0,3213.0
2019-10-22 14:55:00,3478.0,3403.0,3313.0,3184.0,3187.0,3213.0
2019-10-22 15:00:00,3478.0,3421.0,3318.0,3190.0,3187.0,3214.0
2019-10-22 21:00:00,3444.0,3371.0,3298.0,3170.0,3177.0,3209.0
2019-10-22 21:05:00,3448.0,3371.0,3317.0,3179.0,3183.0,3209.0
2019-10-22 21:10:00,3441.0,3371.0,3311.0,3179.0,3183.0,3216.0
2019-10-22 21:15:00,3441.0,3371.0,3310.0,3188.0,3192.0,3211.0
2019-10-22 21:20:00,3441.0,3371.0,3306.0,3193.0,3192.0,3211.0
2019-10-22 21:25:00,3441.0,3371.0,3305.0,3192.0,3180.0,3221.0
2019-10-22 21:30:00,3441.0,3371.0,3307.0,3192.0,3180.0,3217.0
2019-10-22 21:35:00,3441.0,3371.0,3305.0,3192.0,3181.0,3221.0
2019-10-22 21:40:00,3441.0,3371.0,3307.0,3186.0,3192.0,3221.0
2019-10-22 21:45:00,3441.0,3371.0,3309.0,3192.0,3183.0,3221.0
2019-10-22 21:50:00,3441.0,3371.0,3309.0,3193.0,3183.0,3221.0
2019-10-22 21:55:00,3437.0,3371.0,3312.0,3193.0,3183.0,3229.0
